id|Title|Brand|Type|Sex|Size|SizeParams|SizeArray|Color|Country|Price|Image
889|Yoriki / Комбинезон Коричневый|Yoriki|комбинезон|самец|для мелких пород|Российский размер;Размер производителя;Обхват груди, в см;Обхват шеи, в см;Длина спины, в см;|L-мелкие,L,41-47,27-31,28;M-мелкие,M,35-42,23-28,24;S-мелкие,S,29-36,20-24,20;XL-мелкие,XL,46-53,30-34,32;|коричневый|Россия|3026|images.wbstatic.net/c516x688/new/2640000/2641310-1.jpg
890|DOGMODA / Комбинезон для собак мембрана сука|DOGMODA|комбинезон|самка|для средних пород|Российский размер;Размер производителя;Обхват груди, в см;Обхват шеи, в см;Длина спины, в см;|28,28,68,56,28;35,35,68,56,35;|бордовый|Россия|2490|images.wbstatic.net/c516x688/new/7770000/7779299-1.jpg
891|Mellingward / Комбинезон для собак "Звезды" с капюшоном|Mellingward|комбинезон||для мелких пород|Российский размер;Размер производителя;Длина спины, в см;|35,L,35;|голубой|Китай|1917|images.wbstatic.net/c516x688/new/17020000/17020645-1.jpg
892|Mellingward / Свитер для собаки "Черно-белая клеточка"|Mellingward|свитер||для мелких пород|Российский размер;Размер производителя;Длина спины, в см;|35,34,35;||Китай|1917|images.wbstatic.net/c516x688/new/17040000/17048944-1.jpg
893|Доброзверики / Дождевик для собак тонкий №3 сиреневый (длина спины 28-35 см, обхват груди 40-47см)|Доброзверики|дождевик|унисекс|для средних пород|Российский размер;Размер производителя;Обхват груди, в см;Обхват шеи, в см;Длина спинки, в см;|M,M,40-47,27-31,28-35;|сиреневый|Россия|1500|images.wbstatic.net/c516x688/new/11440000/11444524-1.jpg
894|Royal Dog / Куртка зимняя для собак|Royal Dog||унисекс|для мелких пород|Российский размер;Размер производителя;Длина спины, в см;|25,S,25;30,M,30;35,L,35;|красный||4493|images.wbstatic.net/c516x688/new/15700000/15707582-1.jpg
895|Royal Dog / Кожаная куртка для собак крупных пород, для французских бульдогов|Royal Dog|куртка|унисекс|для крупных пород; для средних пород|Российский размер;Размер производителя;Длина спины, в см;|40,3XL,40;|золотистый||8633|images.wbstatic.net/c516x688/new/17880000/17881280-1.jpg
896|ForMyDogs / Костюм для собак Бабочки|ForMyDogs|комбинезон|унисекс|для мелких пород; для средних пород|Российский размер;Размер производителя;Обхват груди, в см;Длина спинки, в см;|9,10,32,24;11,12,36,27;13,14,40,30;14,16,44,33;15,18,48,36;16,20,52,39;|красный, голубой, белый|Китай|2231|images.wbstatic.net/c516x688/new/11280000/11287673-1.jpg
897|Dogs Bomba / Зимняя попона для собак "Светоотражающая лента"|Dogs Bomba|попона|унисекс|для всех пород; для крупных пород|Российский размер;Размер производителя;Обхват груди, в см;Обхват шеи, в см;Длина спинки, в см;|XS,XS,52-60,34-39,35-39;S,S,55-65,34-39,39-43;M,M,62-72,43-48,45-48;L,L,70-79,42-52,60-65;|малиновый|Украина|2790|images.wbstatic.net/c516x688/new/17990000/17991531-1.jpg
898|ForMyDogs / Дождевик для собак мальчиков|ForMyDogs|комбинезон|самец|для мелких пород; для средних пород|Российский размер;Размер производителя;Обхват груди, в см;Длина спинки, в см;|9,10,32,24;11,12,36,27;13,14,40,30;14,16,44,33;15,18,48,36;17,22,56,42;|черный, красный|Китай|3300|images.wbstatic.net/c516x688/new/9360000/9366502-1.jpg
899|Queen! / Куртка для собак. Уиппет. Одежда для собак. Одежда для животных.|Queen!|||для средних; средние породы|Российский размер;Размер производителя;Длина спины, в см;|50,S,50;55,M,55;60,L,60;|бледно розоватый, темно-коричневый, коричневый, розово-коричневый, розовый, тускло-розовый||3500|images.wbstatic.net/c516x688/new/19160000/19163965-1.jpg
900|Arnydog / Комбинезон для мелких и средних пород /зимний комбенизон для собак /одежда для животных|Arnydog|комбинезон|самец; самка; сука|для мелких и средних пород; для средних; малый|Российский размер;Размер производителя;Обхват груди, в см;Длина спины, в см;|S,S,34,20;M,M,38,25;L,L,42,30;XL,XL,48,35;XXL,XXL,52,40;|зеленый|Россия|1802|images.wbstatic.net/c516x688/new/13210000/13216440-1.jpg
901|Mellingward / Свитер для собаки "Бегущие олени"|Mellingward|свитер||для мелких пород|Российский размер;Размер производителя;Длина спины, в см;|25,26,25;||Китай|1500|images.wbstatic.net/c516x688/new/17040000/17048949-1.jpg
902|Ай Да Пес / Комбинезон для животных "Колумбийский Барон"|Ай Да Пес|комбинезон|самец; самка|для крупных пород; для средних пород|Российский размер;Размер производителя;Обхват груди, в см;Обхват шеи, в см;Длина спины, в см;|5XL,5XL,70-80,50,45;4XL,4XL,60-70,50,40;6XL,6XL,75-90,51,50;7XL,7XL,75-90,52,55;8XL,8XL,80-100,54,60;9XL,9XL,80-100,56,65;|хаки|Россия|3850|images.wbstatic.net/c516x688/new/10120000/10125054-1.jpg
903|Mellingward / Комбинезон для собак "Мишка"|Mellingward|комбинезон||для мелких пород|Российский размер;Размер производителя;Длина спины, в см;|25,M,25;||Китай|3978|images.wbstatic.net/c516x688/new/17020000/17020622-1.jpg
904|zafira&grend / Майка для собак|zafira&grend|футболка|самец|для мелких пород|Российский размер;Размер производителя;Длина спины, в см;|20,XS,20;25,S,25;30,M,30;|бежевый, розовый||1500|images.wbstatic.net/c516x688/new/18110000/18113491-1.jpg
905|Mellingward / Комбинезон для собак демисезонный с отверстием для поводка|Mellingward|комбинезон||для мелких пород|Российский размер;Размер производителя;Длина спины, в см;|40,40,40;40,16,40;||Китай|2506|images.wbstatic.net/c516x688/new/17020000/17023600-1.jpg
906|КУЗеР мода / Комбинезон двухслойный "Кокетка" ДЛЯ КИТАЙСКОЙ ХОХЛАТОЙ|КУЗеР мода|комбинезон|самка|для мелких пород|Российский размер;Размер производителя;Обхват груди, в см;Обхват шеи, в см;Длина спины, в см;Обхват живота, в см;|1,1,28-34,20-24,23,25-32;3,3,36-43,25-29,27-28,33-37;13,13,38-45,25-29,27-28,-;14,14,42-47,26-30,32-34,-;15,15,36-43,24-27,25-27,-;16,16,40-45,26-28,27-28,-;17,17,45-50,28-31,28-30,-;|голубой, розовый|Россия|7650|images.wbstatic.net/c516x688/new/8940000/8943328-1.jpg
